"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Antibiotics","Antibiotics","Ampicillin","FALSE","nonproprietary","Ampicillin","Ampicillin_nonproprietary_raw.csv","AMPICILLIN (E)","71872-7204-1","NA","NA","NA","NA","Medical Purchasing Solutions, LLC","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Ampicillin","FALSE","nonproprietary","Ampicillin","Ampicillin_nonproprietary_raw.csv","AMPICILLIN (E)","71872-7230-1","NA","NA","NA","NA","Medical Purchasing Solutions, LLC","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Ampicillin","FALSE","nonproprietary","Ampicillin","Ampicillin_nonproprietary_raw.csv","Ampicillin (E)","71872-7280-1","NA","NA","NA","NA","Medical Purchasing Solutions, LLC","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Ampicillin","FALSE","nonproprietary","Ampicillin","Ampicillin_nonproprietary_raw.csv","Ampicillin (E)","71872-7286-1","NA","NA","NA","NA","Medical Purchasing Solutions, LLC","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","proprietary","Keflex","Cephalexin_Keflex_proprietary_raw.csv","KEFLEX (E)","61919-358-28","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","proprietary","Keflex","Cephalexin_Keflex_proprietary_raw.csv","KEFLEX (U)","61919-410-30","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","nonproprietary","Cephalexin","Cephalexin_nonproprietary_raw.csv","CEPHALEXIN (U)","61919-051-40","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","nonproprietary","Cephalexin","Cephalexin_nonproprietary_raw.csv","CEPHALEXIN (U)","61919-051-30","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","nonproprietary","Cephalexin","Cephalexin_nonproprietary_raw.csv","CEPHALEXIN (U)","61919-051-20","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","nonproprietary","Cephalexin","Cephalexin_nonproprietary_raw.csv","KEFLEX (E)","61919-358-28","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Cephalexin","FALSE","nonproprietary","Cephalexin","Cephalexin_nonproprietary_raw.csv","KEFLEX (U)","61919-410-30","NA","NA","NA","NA","DIRECT RX","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Ciprofloxacin","FALSE","proprietary","Cipro","Ciprofloxacin_Cipro_proprietary_raw.csv","Ciprofloxacin (E)","42708-188-14","NA","NA","NA","NA","QPharma, Inc.","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
"Antibiotics","Antibiotics","Ciprofloxacin","FALSE","proprietary","Cipro","Ciprofloxacin_Cipro_proprietary_raw.csv","Ciprofloxacin (E)","68071-3876-2","NA","NA","NA","NA","NuCare Pharmaceuticals, Inc.","NA","NA","NA","NA","NA","N/A","NA","NA","N/A","N/A","N/A","NA","3","TRUE"
